,January,,,,,,February,,,,,,March,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
Publisher,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Articles,Comments,Likes,Shares,Facebook Total,Actions per Article,Article Count,Likes,Comments,Shares,Facebook Total,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook,Actions per Article,Article Count,Likes,Shares,Comments,Total FB,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Comments,Shares,Facebook Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article
Movie Pilot,,,,,,,,,,,,,,,,,,822,242019,3768145,347311,4357475,5301.0644768857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101,7452041,997699,610947,9060687,2921.8597226701,2487,7050735,876557,643619,8570911,3446.2850824286
mtv.com,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,1778,4278848,354462,379673,5012983,2819.4505061867,1999,7237186,429965,406000,8073151,4038.5947973987,1.909,7283924,569378,545092,8398394,4399368.25563122,2109,8391460,858521,758147,10008128,4745.4376481745,1783,6867767,574936,602313,8045016,4512.0673022995,1485,9835901,570413,553560,10959874,7380.3865319865
nbc.com,16.758,5639141,1919786,2214234,9773161,583193.758205036,17298,5648948,1754030,1815982,9218960,532.9494739276,,,,,,20394,2492925,7390879,2170176,12053980,591.0552123173,22671,6568290,2036372,1935747,10540409,464.9291606017,29663,10120598,2618748,3153465,15892811,535.7789502073,35377,10468193,2917541,3551629,16937363,478.7676456455,36084,12159306,2807273,3393660,18360239,508.8193936371,39.096,12057132,3013827,3260883,18331842,468893.032535298,41619,15692323,4739946,3773431,24205700,581.6021528629,38300,13118232,3140733,4184980,20443945,533.784464752,34124,11921538,2855673,3421010,18198221,533.2968292111
npr.org,2.463,3138393,1252080,1099969,5490442,2229168.49370686,2521,3050815,1121866,1061044,5233725,2076.0511701706,,,,,,6568,905862,3120135,1183575,5209572,793.1747868453,6725,2743527,856670,1066916,4667113,693.9944981413,6680,2982312,1045827,788800,4816939,721.0986526946,4322,2981479,1113813,820414,4915706,1137.3683479871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nytimes.com,7.678,4111913,1908405,1587033,7607351,990798.515238343,7127,4366523,1977439,1813340,8157302,1144.5632103269,,,,,,7853,1639631,4157892,2063861,7861384,1001.067617471,9016,4415649,1500803,2126808,8043260,892.1095829636,8991,5217299,2301950,1662680,9181929,1021.2355689022,9246,5122449,2421518,1716634,9260601,1001.5791693705,8637,5303995,2359797,1673490,9337282,1081.0793099456,9.268,6070134,2528206,1708671,10307011,1112107.35865343,9416,8374346,2453238,3351420,14179004,1505.8415463042,8431,5439189,2311298,1862802,9613289,1140.2311706796,7704,5998474,2189080,1769468,9957022,1292.4483385255
playbuzz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1625148,2038560,2095907,5759615,64714.7752808989,,,,,,,2172,3224428,4356292,4327633,11908353,5482.6671270718,1.147,5574053,7596499,7488467,20659019,18011350.4795118,1012,8466565,10267044,10072555,28806164,28464.5889328063,1282,8024871,8701670,8947869,25674410,20026.8408736349,1145,7567761,8627878,8483988,24679627,21554.2593886463
rare.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,4847263,1477592,894667,7219522,6061.73131822,,,,,,
rt.com,1.378,1718919,980731,807878,3507528,2545375.90711176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slate,,,,,,,1493,1251395,554675,742839,2548909,1707.2397856665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theblaze.com,1.666,3474701,1554527,1166850,6196078,3719134.45378151,1346,3162282,1486505,1042607,5691394,4228.3759286776,,,,,,1336,1409846,4383331,1870991,7664168,5736.6526946108,1469,2990898,985714,1195117,5171729,3520.5779441797,2142,4025858,1673061,1234064,6932983,3236.6867413632,1552,2819964,1151943,929427,4901334,3158.0760309278,,,,,,,,,,,,,,,,,,,11959,6229290,2423022,2144877,10797189,902.8504891713,,,,,,
theguardian.com,12.152,3554764,1914176,1730522,7199462,592450.789993417,11345,4191739,2108735,1751159,8051633,709.7076245042,,,,,,11178,1792699,4543785,2125030,8461514,756.9792449454,11521,4710500,1909663,2231599,8851762,768.3154240083,12159,5355273,2542423,2037248,9934944,817.0856155934,11787,5935784,2581490,2087727,10605001,899.7201153814,11196,6934282,2577127,2022404,11533813,1030.1726509468,12.025,7279067,2848488,2391605,12519160,1041094.38669439,12717,7575190,2706608,3028459,13310257,1046.6507037823,498,5811844,1487792,1602486,8902122,17875.7469879518,10457,5899411,2240095,2077688,10217194,977.0674189538
thoughtcatalog.com,1.665,1874212,729785,1042934,3646931,2190348.94894895,1833,1877684,828577,797681,3503942,1911.5886524823,,,,,,,,,,,,1972,2236659,803660,859747,3900066,1977.7210953347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time.com,2.833,1578592,770390,856088,3205070,1131334.27462054,,,,,,,,,,,,3076,582081,2076517,890118,3548716,1153.6788036411,3029,2005691,479862,724905,3210458,1059.906899967,3492,2834303,955342,710012,4499657,1288.5615693013,3127,2789569,948245,684088,4421902,1414.1036136872,2672,4197964,1184552,756206,6138722,2297.4258982036,,,,,,,,,,,,,,,,,,,,,,,,
tpnn.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,7684588,2138947,2085527,11909062,22053.8185185185,459,5948284,1797776,1910384,9656444,21038.0043572985,480,6339595,2132965,2003202,10475762,21824.5041666667,,,,,,,412,4461129,1146941,1219996,6828066,16572.9757281553
upworthy.com,237,3294528,1585760,817569,5697857,24041.5907172996,253,4536544,2120520,1147551,7804615,30848.2806324111,,,,,,252,920960,3824812,1982216,6727988,26698.3650793651,305,3268800,799292,1550787,5618879,18422.5540983607,362,4037889,2058423,971179,7067491,19523.455801105,,,,,,,384,4590387,2231421,961629,7783437,20269.3671875,348,4459200,1926413,799138,7184751,20645.8362068965,,,,,,,,,,,,,,,,,,
usatoday.com,6.566,2627532,1000316,1021146,4648994,708040.511727079,6559,2182071,894412,1021572,4098055,624.7987498094,,,,,,7953,1019538,2112892,823733,3956163,497.4428517541,8703,2284377,743893,766259,3794529,436.002412961,10066,3018750,990978,1032938,5042666,500.960262269,12131,3673022,1137174,1159792,5969988,492.1266177562,12058,3681165,1152686,1177308,6011159,498.5204013933,,,,,,,14486,4562269,1611672,1420872,7594813,524.2864144691,,,,,,,,,,,,
viralnova.com,200,8628302,3761005,2689187,15078494,75392.47,179,4635869,1986548,1180635,7803052,43592.469273743,,,,,,238,577646,2623388,1265280,4466314,18766.025210084,267,2568465,459883,1268198,4296546,16091.9325842697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washingtonpost.com,7.19,1708350,843067,821337,3372754,469089.568845619,7041,2196657,982431,908030,4087118,580.4740803863,,,,,,7791,941154,1939658,890436,3771248,484.0518547041,8491,1958328,783294,887632,3629254,427.4236250147,8466,2294714,997517,1016044,4308275,508.8914481455,8568,3433759,1455517,1270623,6159899,718.9424603175,,,,,,,,,,,,,10195,4294597,1582230,1738675,7615502,746.9840117705,8872,5269884,1850869,1841967,8962720,1010.2254283138,8023,4576914,1539441,1528023,7644378,952.8079272093
westernjournalism.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,5498657,1662805,1143225,8304687,10017.7165259349,993,5636814,1448347,1099436,8184597,8242.2930513595,1012,5548874,1151801,1500239,8200914,8103.6699604743,755,5058581,1081438,969034,7109053,9415.9642384106,658,4779166,1113223,960868,6853257,10415.2841945289
yahoo.com,110.93,1902065,1251603,968044,4121712,37155.9722347426,89489,1866768,1145769,931541,3944078,44.0733274481,,,,,,110210,845300,1751370,1127895,3724565,33.7951637782,115957,1637767,749225,1286083,3673075,31.676181688,122186,2125114,1589846,1074112,4789072,39.1949323163,116116,2799282,1860417,1231540,5891239,50.7358072962,,,,,,,,,,,,,119613,4203489,1651720,2302371,8157580,68.1997776161,,,,,,,,,,,,
Young Cons,,,,,,,,,,,,,,,,,,346,654214,1851155,773054,3278423,9475.210982659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
